Company,Rating,Position,Salary,Size,Founded,Type,Industry,Sector,Revenue,Location
CommerceIQ,4.0,Data Scientist (BE/ B-tech 4-6 yrs),"Employer Provided Salary:₹2,500K - ₹3,500K",51 to 200 Employees,2012,Company - Private,Internet,Information Technology,$10 to $25 million (USD),Bangalore
Applied Materials Inc.,4.0,Data Scientist,,10000+ Employees,1967,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Bangalore
"BreathX Technologies Pvt Ltd, A Canary Global Inc. company",,Data Scientist (2-3 years exp),,Unknown,,Company - Public,,,Unknown / Non-Applicable,Bangalore
Ninestars Information Technologies,2.5,Junior Data Scientist,Employer Provided Salary:₹400K,Unknown,,Company - Private,,,Unknown / Non-Applicable,Bangalore
GO-JEK,4.2,Data Scientist 2,,1001 to 5000 Employees,2010,Company - Private,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable,Bangalore
Oracle,3.7,Data Scientist 1,,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Bangalore
Infosys Limited,3.9,Senior Data Scientist,,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
HP,4.2,Data Scientist,,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bangalore
"JPMorgan Chase Bank, N.A.",3.7,WM Data Scientist,,10000+ Employees,1799,Subsidiary or Business Segment,Banks & Building Society,Finance,$10+ billion (USD),Bangalore
Standard Chartered,3.8,Data Scientist - Document Digitization,,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),Bangalore
PwC,3.9,Finance Data Scientist - Associate,,10000+ Employees,1998,Company - Private,Accounting,Accounting & Legal,$5 to $10 billion (USD),Bangalore
HP,4.2,Data Scientist/ML Engineer,,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bangalore
Polaris Inc.,3.8,Data Scientist,,10000+ Employees,1954,Company - Public,Transport Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),Bangalore
Proziod Analytics,4.3,Data Scientist,Employer Provided Salary:₹500K - ₹800K,1 to 50 Employees,2016,Company - Private,IT Service,Information Technology,Less than $1 million (USD),Bangalore
Flipkart,4.2,Senior Data Scientist,,10000+ Employees,2007,Company - Private,Internet,Information Technology,$5 to $10 billion (USD),Bangalore
Infosys Limited,3.9,Data Science Professional,,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
Mercedes-Benz Research and Development India Private Limited,3.9,Data Scientist-Mathematical Optimizations And Reliability,,10000+ Employees,1965,Subsidiary or Business Segment,Vehicle Dealership,Retail,$10+ billion (USD),Bangalore
Honeywell,3.7,Data Scientist,,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Walmart Global Tech India,3.3,Data Scientist - IN3,,1001 to 5000 Employees,1994,Company - Public,General Merchandise & Superstore,Retail,$10+ billion (USD),Bangalore
Cervello Inc,3.9,Data Scientist,,51 to 200 Employees,2009,Company - Private,IT Service,Information Technology,$10 to $25 million (USD),Bangalore
West Pharmaceutical Services,3.5,"Data Scientist, D&T",,5001 to 10000 Employees,1923,Company - Public,Health Care Product Manufacturing,Manufacturing,$1 to $2 billion (USD),Bangalore
HDFC Bank,3.6,RAU-Data Scientist,,10000+ Employees,1995,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),Bangalore
Canum Infotech,,Data Scientist,,1 to 50 Employees,,Company - Public,,,Unknown / Non-Applicable,Bangalore
PayPal,4.3,Data Scientist 1,,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Bangalore
HP,4.2,EBP AI/ML Data Scientist,,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bangalore
Ausy Technologies,4.3,Data Scientist,"Employer Provided Salary:₹1,800K",501 to 1000 Employees,1995,Company - Public,IT Service,Information Technology,$100 to $500 million (USD),Bangalore
PayPal,4.3,Senior Data Scientist,,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Bangalore
Simpli Namdhari,1.0,Data Analytics Internship,Employer Provided Salary:₹120K - ₹180K,501 to 1000 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Honeywell,3.7,Data Scientist II,,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Intel,4.2,Lead Data Scientist,,10000+ Employees,1968,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Randstad,3.9,junior data scientist,,10000+ Employees,1960,Company - Public,Staffing & Outsourcing,Business Service,$10+ billion (USD),Bangalore
Arista Networks,4.2,Data Scientist,,1001 to 5000 Employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),Bangalore
